YEAR,STATEFIP,age_group,mean_INCWAGE
2009,56,18 and under,385.5063129460878
2009,56,19-25,22724.447967419987
2009,56,26-34,39904.736752161734
2009,56,35-54,44771.28440460034
2009,56,55-64,33367.5722588004
2009,56,65+,5992.746969935791
2009,56,nan,0.0
2010,01,18 and under,1163.686955210166
2010,01,19-25,13909.428054125712
2010,01,26-34,25148.304717044095
2010,01,35-54,34811.00941790582
2010,01,55-64,36197.73400313674
2010,01,65+,4419.084001808402
2010,01,nan,0.0
2010,02,18 and under,645.7164527537906
2010,02,19-25,20616.549326299737
2010,02,26-34,36419.92406261718
2010,02,35-54,50479.64309682356
2010,02,55-64,47249.43770968088
2010,02,65+,11217.448039941228
2010,02,nan,0.0
2010,04,18 and under,187.96231760210455
2010,04,19-25,13821.847522302554
2010,04,26-34,29875.47280273429
2010,04,35-54,41995.22265538168
2010,04,55-64,34273.046501609344
2010,04,65+,7249.662735021905
2010,04,nan,0.0
2010,05,18 and under,240.30559731670797
2010,05,19-25,14288.397623497442
2010,05,26-34,30082.8591510312
2010,05,35-54,31744.74937796279
2010,05,55-64,25067.117656458573
2010,05,65+,4405.742697028811
2010,05,nan,0.0
2010,06,18 and under,222.9482107121919
2010,06,19-25,13952.769720113738
2010,06,26-34,35746.85688874823
2010,06,35-54,47583.0362232841
2010,06,55-64,40542.839547761636
2010,06,65+,9320.325875794822
2010,06,nan,0.0
2010,08,18 and under,302.47397220352565
2010,08,19-25,16119.815712422465
2010,08,26-34,38808.24984373233
2010,08,35-54,51958.8735771053
2010,08,55-64,44075.08405557563
2010,08,65+,10781.826213860444
2010,08,nan,0.0
2010,09,18 and under,451.9717162016464
2010,09,19-25,16643.18822681929
2010,09,26-34,44625.425960519104
2010,09,35-54,63893.473062501645
2010,09,55-64,51758.95949947077
2010,09,65+,7790.78805191754
2010,09,nan,0.0
2010,10,18 and under,377.8142913531623
2010,10,19-25,14105.691468958448
2010,10,26-34,35922.18306730196
2010,10,35-54,47653.99619018775
2010,10,55-64,31881.00126420126
2010,10,65+,5569.415672738574
2010,10,nan,0.0
2010,11,18 and under,194.33448362997305
2010,11,19-25,22304.018321504616
2010,11,26-34,61997.61191844916
2010,11,35-54,61712.739733004506
2010,11,55-64,60318.53759855026
2010,11,65+,19563.826587458916
2010,11,nan,0.0
2010,12,18 and under,218.4982794036171
2010,12,19-25,13641.961712655986
2010,12,26-34,32964.79710720523
2010,12,35-54,40459.56433942995
2010,12,55-64,34612.685103273674
2010,12,65+,6709.102846672786
2010,12,nan,0.0
2010,13,18 and under,159.26330630337492
2010,13,19-25,13624.961362048563
2010,13,26-34,30771.908601298408
2010,13,35-54,47006.77856343051
2010,13,55-64,27380.292874398194
2010,13,65+,5974.514834909436
2010,13,nan,0.0
2010,15,18 and under,208.12949052685113
2010,15,19-25,15546.161168756786
2010,15,26-34,30579.215158536146
2010,15,35-54,41412.707085388814
2010,15,55-64,38450.92864261464
2010,15,65+,8673.236580179298
2010,15,nan,0.0
2010,16,18 and under,307.14723255306467
2010,16,19-25,13953.09852237709
2010,16,26-34,28113.85679302015
2010,16,35-54,39163.58005749369
2010,16,55-64,35783.42964200502
2010,16,65+,2981.390326895243
2010,16,nan,0.0
2010,17,18 and under,291.3559392862011
2010,17,19-25,14863.605813103923
2010,17,26-34,38584.77542081179
2010,17,35-54,48275.42668700165
2010,17,55-64,33482.623156165595
2010,17,65+,10438.525832851668
2010,17,nan,0.0
2010,18,18 and under,219.5097874501366
2010,18,19-25,16413.305104857274
2010,18,26-34,29323.71240971177
2010,18,35-54,39237.214065608896
2010,18,55-64,33769.77378885605
2010,18,65+,5699.517228452364
2010,18,nan,0.0
2010,19,18 and under,477.7599289260284
2010,19,19-25,15910.166070856738
2010,19,26-34,32765.44336639045
2010,19,35-54,41876.62678435266
2010,19,55-64,32428.260526167247
2010,19,65+,6001.0140243135675
2010,19,nan,0.0
2010,20,18 and under,669.1955363555319
2010,20,19-25,12878.542134909372
2010,20,26-34,33283.071905004836
2010,20,35-54,44512.47149305469
2010,20,55-64,37100.04646272615
2010,20,65+,5203.792869319878
2010,20,nan,0.0
2010,21,18 and under,333.60873090525143
