YEAR,STATEFIP,age_group,mean_INCWAGE
2009,40,26-34,33992.59413649354
2009,40,35-54,32866.318775381566
2009,40,55-64,23300.33893990039
2009,40,65+,5315.9667827695075
2009,41,18 and under,5250.5081113976985
2009,41,19-25,13288.062566688495
2009,41,26-34,27332.922219487
2009,41,35-54,33815.95662538199
2009,41,55-64,20996.300895681998
2009,41,65+,2616.078193231302
2009,42,18 and under,3300.076598117844
2009,42,19-25,13598.256355343712
2009,42,26-34,28804.853192336417
2009,42,35-54,34834.72651993774
2009,42,55-64,28094.2771713313
2009,42,65+,3906.2042658878695
2009,44,18 and under,5336.74413064814
2009,44,19-25,12250.419441042513
2009,44,26-34,28653.57515582033
2009,44,35-54,34401.95212743124
2009,44,55-64,31010.31709449357
2009,44,65+,7748.921363351814
2009,45,18 and under,2212.6239996348427
2009,45,19-25,16511.30619659798
2009,45,26-34,23410.77498123713
2009,45,35-54,30805.921389466628
2009,45,55-64,22873.16876024239
2009,45,65+,4711.32047575971
2009,46,18 and under,8497.989547630006
2009,46,19-25,16826.972102660024
2009,46,26-34,26705.041733601938
2009,46,35-54,35498.90653337176
2009,46,55-64,22485.517770986047
2009,46,65+,4951.515017156207
2009,47,18 and under,2909.6261101755267
2009,47,19-25,12763.504180934327
2009,47,26-34,25207.79931259988
2009,47,35-54,27276.35345778205
2009,47,55-64,21470.799886835324
2009,47,65+,3588.136170384105
2009,48,18 and under,7912.331616665028
2009,48,19-25,16049.37813937197
2009,48,26-34,26000.540216786456
2009,48,35-54,34656.29706496593
2009,48,55-64,28705.97955951752
2009,48,65+,6441.718365889315
2009,49,18 and under,10574.250530957004
2009,49,19-25,19981.758613901267
2009,49,26-34,27265.129382577066
2009,49,35-54,39697.975756089785
2009,49,55-64,34554.17977595854
2009,49,65+,7144.080834530923
2009,50,18 and under,5825.644976472598
2009,50,19-25,13322.176443511162
2009,50,26-34,33634.71210758004
2009,50,35-54,33672.523452988855
2009,50,55-64,22230.113611192857
2009,50,65+,5501.3741927298715
2009,51,18 and under,4207.673359806579
2009,51,19-25,17107.465876437396
2009,51,26-34,31525.87589233282
2009,51,35-54,38497.33201910416
2009,51,55-64,31777.374415558585
2009,51,65+,6146.989892284115
2009,53,18 and under,3780.7579245069114
2009,53,19-25,16905.132174994436
2009,53,26-34,34954.649502889595
2009,53,35-54,41680.30273118971
2009,53,55-64,21886.00603759454
2009,53,65+,3959.4561563249144
2009,54,18 and under,2437.3054780250645
2009,54,19-25,15820.343082924286
2009,54,26-34,23684.610426830088
2009,54,35-54,27004.737982142135
2009,54,55-64,21399.816791311434
2009,54,65+,3147.2163595220522
2009,55,18 and under,7719.356518591464
2009,55,19-25,14634.834838853114
2009,55,26-34,33778.27697383931
2009,55,35-54,34710.158554837624
2009,55,55-64,27461.504307602267
2009,55,65+,4855.200629961597
2009,56,18 and under,3347.436326494961
2009,56,19-25,23111.643142513927
2009,56,26-34,38925.070614168915
2009,56,35-54,41723.24741044772
2009,56,55-64,29103.93853038118
2009,56,65+,7988.434380403215
2010,1,18 and under,5848.405643851648
2010,1,19-25,13776.059433467875
2010,1,26-34,22233.34887401263
2010,1,35-54,28769.26468828382
2010,1,55-64,28999.736261165177
2010,1,65+,4186.109933235763
2010,2,18 and under,17829.0363933266
2010,2,19-25,19099.500808484532
2010,2,26-34,33628.239986097724
2010,2,35-54,37653.37558838457
2010,2,55-64,32561.071967196884
2010,2,65+,8479.953744275575
2010,4,18 and under,5098.7372813594475
2010,4,19-25,13830.66686120905
2010,4,26-34,21817.797229682972
2010,4,35-54,33200.06691447484
2010,4,55-64,26533.077355716032
2010,4,65+,4022.7363546683227
2010,5,18 and under,1603.105591025621
2010,5,19-25,11482.786639956783
2010,5,26-34,24072.504959896327
2010,5,35-54,28096.703134543375
2010,5,55-64,21596.822417497642
2010,5,65+,4499.162063228432
2010,6,18 and under,3275.4660662351985
2010,6,19-25,13404.182153854143
2010,6,26-34,29326.42435238963
2010,6,35-54,35252.805148796535
2010,6,55-64,26741.449717084342
2010,6,65+,5710.963928152106
2010,8,18 and under,6631.111474673683
2010,8,19-25,14519.071688970102
2010,8,26-34,24582.113261060884
2010,8,35-54,37697.68301715276
2010,8,55-64,32081.53043470007
2010,8,65+,5102.866201959783
2010,9,18 and under,4617.950447071863
2010,9,19-25,12303.731810721058
2010,9,26-34,27690.776204965292
2010,9,35-54,41091.709598534144
2010,9,55-64,36949.07106851184
2010,9,65+,8111.0448085704575
2010,10,18 and under,3588.4496110475498
2010,10,19-25,13681.404548302186
2010,10,26-34,27713.467851173875
2010,10,35-54,39789.234273686816
2010,10,55-64,24869.70148473712
2010,10,65+,5457.08912405759
2010,11,18 and under,780.8532856891377
2010,11,19-25,11383.498210579424
2010,11,26-34,25783.846297592652
2010,11,35-54,29514.323719690954
2010,11,55-64,36597.32434387432
2010,11,65+,3955.404905105629
2010,12,18 and under,2870.839247209841
2010,12,19-25,12551.178188697986
2010,12,26-34,25141.250977395375
2010,12,35-54,30721.296256792026
2010,12,55-64,23683.03048869709
2010,12,65+,4888.39601322071
2010,13,18 and under,2299.352725066929
2010,13,19-25,12022.196007602808
2010,13,26-34,23628.559644421377
2010,13,35-54,35224.27211320632
2010,13,55-64,20398.69480475619
2010,13,65+,3506.7533686676584
2010,15,18 and under,4009.5165847301178
2010,15,19-25,15315.04479117989
2010,15,26-34,26020.59097126476
2010,15,35-54,31672.181847765212
2010,15,55-64,33438.999095576415
2010,15,65+,5420.510664698734
2010,16,18 and under,4841.595571770788
2010,16,19-25,12575.221297514663
2010,16,26-34,22432.81781318505
