"","ENTITYNAME","CIPCode","CIPTITLE","ROI_Report_Group","DegreeLevelId","DEGREE","years_after_completion","annual_earnings"
"72","ALL","19.09","Apparel and Textiles.","Social and Behavioral Sciences and Human Services","02","Certificate(>1 year)",1,"18879.150000000001"
"73","ALL","09.07","Radio, Television, and Digital Communication.","Arts, Humanities and Communication","11","Associate of Applied Science",1,"24501.75"
"74","ALL","30.14","Museology/Museum Studies.","Arts, Humanities and Communication","31","Master's Degree",1,"33997.620000000003"
"75","ALL","40.02","Astronomy and Astrophysics.","Science, Technology, Engineering and Math","61","Doctoral Degree",1,"60723.57"
"76","ALL","10.03","Graphic Communications.","Arts, Humanities and Communication","01","Certificate(<1 year)",1,"25310.68"
"77","ALL","50.06","Film/Video and Photographic Arts.","Arts, Humanities and Communication","01","Certificate(<1 year)",1,"26500.79"
"78","ALL","10.01","Communications Technology/Technician.","Arts, Humanities and Communication","01","Certificate(<1 year)",1,"25214.29"
"79","ALL","52.14","Marketing.","Business","01","Certificate(<1 year)",1,"37843.870000000003"
"80","ALL","27.99","Mathematics and Statistics, Other.","Science, Technology, Engineering and Math","61","Doctoral Degree",1,"42451.83"
"81","ALL","51.33","Alternative and Complementary Medicine and Medical Systems.","Health","11","Associate of Applied Science",1,"32272.799999999999"
"82","ALL","26.07","Zoology/Animal Biology.","Science, Technology, Engineering and Math","61","Doctoral Degree",1,"48075.3"
"83","ALL","45.10","Political Science and Government.","Social and Behavioral Sciences and Human Services","61","Doctoral Degree",1,"51959.7"
"84","ALL","16.12","Classics and Classical Languages, Literatures, and Linguistics.","Arts, Humanities and Communication","31","Master's Degree",1,"28384.18"
"85","ALL","03.06","Wildlife and Wildlands Science and Management.","Science, Technology, Engineering and Math","01","Certificate(<1 year)",1,"23168.28"
"86","ALL","52.07","Entrepreneurial and Small Business Operations.","Business","01","Certificate(<1 year)",1,"25631.19"
"87","ALL","01.09","Animal Sciences.","Science, Technology, Engineering and Math","61","Doctoral Degree",1,"92087.28"
"88","ALL","52.02","Business Administration, Management and Operations.","Business","02","Certificate(>1 year)",1,"27926.36"
"89","ALL","51.33","Alternative and Complementary Medicine and Medical Systems.","Health","01","Certificate(<1 year)",1,"25967.03"
"90","ALL","40.05","Chemistry.","Science, Technology, Engineering and Math","61","Doctoral Degree",1,"55532.88"
"91","ALL","50.06","Film/Video and Photographic Arts.","Arts, Humanities and Communication","21","Bachelor's Degree",1,"23471.43"
"92","ALL","30.12","Historic Preservation and Conservation.","Arts, Humanities and Communication","01","Certificate(<1 year)",1,"47119.86"
"93","ALL","52.02","Business Administration, Management and Operations.","Business","04","Post-Bachelor Certificate",1,"22726.75"
"94","ALL","10.02","Audiovisual Communications Technologies/Technicians.","Arts, Humanities and Communication","02","Certificate(>1 year)",1,"39202.449999999997"
"95","ALL","14.23","Nuclear Engineering.","Science, Technology, Engineering and Math","61","Doctoral Degree",1,"39610.620000000003"
"96","ALL","31.01","Parks, Recreation and Leisure Studies.","Social and Behavioral Sciences and Human Services","02","Certificate(>1 year)",1,"20598.240000000002"
"97","ALL","39.02","Bible/Biblical Studies.","Arts, Humanities and Communication","13","Associate Degree(AA or AS)",1,"48291.68"
"98","ALL","50.09","Music.","Arts, Humanities and Communication","01","Certificate(<1 year)",1,"26337.72"
